time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-12-22T00:46:53.100Z,37.8877,-122.2082,9.1,0.8,Md,,57.6,0.00898315,0.06,nc,nc72128381,2014-01-03T02:58:03.345Z,"2km WNW of Orinda, California",earthquake
2013-12-03T11:01:02.300Z,37.8705,-122.2242,4.3,0.5,Md,,61.2,0.00898315,0.06,nc,nc72113630,2013-12-13T02:37:32.460Z,"3km W of Orinda, California",earthquake
2013-12-03T10:51:08.300Z,37.8638,-122.2143,4.4,0.6,Md,,154.8,0.01796631,0.04,nc,nc72113625,2013-12-10T03:16:03.763Z,"3km WSW of Orinda, California",earthquake
2013-11-30T12:15:23.000Z,37.884,-122.1672,8,1.6,Md,,54,0.03593261,0.08,nc,nc72112210,2013-12-04T01:51:05.956Z,"1km NE of Orinda, California",earthquake
2013-11-29T11:20:22.400Z,37.8875,-122.2085,8.9,1.2,Md,,43.2,0.00898315,0.07,nc,nc72111720,2013-12-04T02:45:14.144Z,"2km WNW of Orinda, California",earthquake
2013-11-28T05:57:42.200Z,37.8722,-122.2322,4.8,1.7,Md,,21.6,0.00898315,0.08,nc,nc72111155,2013-12-07T01:47:03.096Z,"3km E of Berkeley, California",earthquake
2013-11-28T04:25:22.100Z,37.8737,-122.2298,4.9,1.3,Md,,32.4,0.00898315,0.08,nc,nc72111135,2013-12-04T22:32:07.760Z,"3km E of Berkeley, California",earthquake
2013-11-22T01:45:08.300Z,37.8888,-122.2055,8.9,2.1,Md,,43.2,0.01796631,0.06,nc,nc72107950,2013-11-27T06:17:08.127Z,"2km WNW of Orinda, California",earthquake
2013-11-20T22:47:34.800Z,37.8827,-122.2283,6.8,0.8,Md,,82.8,0,0.06,nc,nc72110651,2013-11-26T01:48:09.351Z,"4km ENE of Berkeley, California",earthquake
2013-11-18T16:53:23.200Z,37.8872,-122.208,8.8,1.6,Md,,43.2,0.00898315,0.06,nc,nc72109601,2013-11-26T02:18:08.138Z,"2km WNW of Orinda, California",earthquake
2013-11-17T21:02:18.900Z,37.8855,-122.207,8.7,2.3,Md,,21.6,0.00898315,0.09,nc,nc72109046,2014-01-31T22:24:36.729Z,"2km WNW of Orinda, California",earthquake
2013-11-16T15:53:52.300Z,37.9178,-122.0997,12,1.1,Md,,129.6,0.04491576,0.09,nc,nc72108516,2014-01-31T21:22:23.000Z,"3km WNW of Walnut Creek, California",earthquake
2013-11-12T15:17:23.000Z,37.7855,-122.3102,7.4,2.3,Md,,21.6,0.02694946,0.08,nc,nc72106246,2014-03-21T04:36:18.201Z,"4km WSW of Oakland, California",earthquake
